Aangeboden sinds,Aantal badkamers,Aantal kamers,Aantal woonlagen,Aanvaarding,Achtertuin,Address,Badkamervoorzieningen,Balkon / dakterras,Bedrijfsruimte,Bijdrage VvE,Bouwjaar,C.V.-ketel,Eigendomssituatie,Energielabel,Externe bergruimte,Gebouwgebonden buitenruimte,Gelegen op,Huurprijs,Inhoud,Inschrijving KvK,Isolatie,Jaarlijkse vergadering,Lasten,Ligging,Ligging tuin,Onderhoudsplan,Oorspronkelijke huurprijs,Oorspronkelijke vraagprijs,Opstalverzekering,Overbruggingsgarantie,Overige inpandige ruimte,Perceeloppervlakte,Periodieke bijdrage,Postcode,Reservefonds aanwezig,Schuur/berging,Servicekosten,Soort appartement,Soort bouw,Soort dak,Soort garage,Soort parkeergelegenheid,Specifiek,Status,Tuin,Verwarming,Voorzieningen,Vraagprijs,Warm water,Wonen (= woonoppervlakte),Zonneterras
6+ maanden,1 badkamer,2 kamers (1 slaapkamer),4 woonlagen,In overleg,50 (10m diep en 5m breed),Brederodestraat 31 hs,Douche en toilet,,,,1906-1930,"Remeha ( combiketel uit 2009, Eigendom)",Volle eigendom,Niet beschikbaar,,,Begane grond,,171,Ja,,Ja,,Aan rustige weg en in woonwijk,Gelegen op het zuiden,Ja,,264.500,Ja,,,,Ja,1054 MR Amsterdam   ,Ja,,60 /mnd,Benedenwoning (appartement),Bestaande bouw,,,,,Beschikbaar,Achtertuin,C.V.-ketel,TV kabel,234.500,C.V.-ketel,46,
6+ maanden,1 badkamer en 2 aparte toiletten,5 kamers (4 slaapkamers),2 woonlagen,In overleg,40 (8m diep en 5m breed),Bosboom Toussaintstraat 68 HS,Ligbad en douche,Frans balkon aanwezig,,€ 100 per maand,1898,Gas gestookt combiketel,Volle eigendom,Niet beschikbaar,6,2,1e woonlaag,,936,Nee,Dubbel glas,Ja,,In woonwijk,Gelegen op het noordwesten,Nee,,,Ja,,,,Ja (€ 100 per maand),1054 AV Amsterdam   ,Ja,Aangebouwde stenen berging,100 /mnd,Dubbel benedenhuis (appartement),Bestaande bouw,Zadeldak bedekt met bitumineuze dakbedekking en dakpannen,Parkeerkelder,Parkeergarage,Gestoffeerd en dubbele bewoning mogelijk,Beschikbaar,Achtertuin,C.V.-ketel,Elektra,995.000,C.V.-ketel,152,
6+ maanden,1 badkamer,2 kamers (2 slaapkamers),1 woonlaag,In overleg,20 (5m diep en 4m breed),Brederodestraat 49 hs,Ligbad en toilet,,,,1906-1930,"Intergas HR (gas gestookt combiketel uit 2009, Eigendom)",Volle eigendom,Niet beschikbaar,,20,Begane grond,,175,Nee,Gedeeltelijk dubbel glas,Nee,,Aan rustige weg en in centrum,Gelegen op het zuiden,Nee,,254.000,Nee,,,,Nee,1054 MS Amsterdam   ,Nee,,50 /mnd,Benedenwoning (appartement),Bestaande bouw,Zadeldak bedekt met overig,,,,Beschikbaar,Achtertuin,C.V.-ketel,,249.000,C.V.-ketel,65,
Vandaag,2 badkamers,5 kamers (3 slaapkamers),4 woonlagen,In overleg,60 (10m diep en 6m breed),Derde Helmersstraat 20 hs+I,2 douches en 2 toiletten,,,€ 100 per maand,Voor 1906,"Intergas (gas gestookt combiketel uit 2011, Eigendom)",Volle eigendom,Niet beschikbaar,,,1e woonlaag,,400,Ja,Gedeeltelijk dubbel glas en vloerisolatie,Ja,,In woonwijk en aan rustige weg,Gelegen op het noordwesten,Nee,,,Ja,,8,,Ja (€ 100 per maand),1054 BH Amsterdam    Nieuw,Ja,,100 /mnd,Dubbel benedenhuis (appartement),Bestaande bouw,,,Betaald parkeren,Dubbele bewoning aanwezig en dubbele bewoning mogelijk,Beschikbaar,Achtertuin,C.V.-ketel,TV kabel en mechanische ventilatie,625.000,C.V.-ketel,128,
6+ maanden,1 badkamer en 1 apart toilet,2 kamers (1 slaapkamer),1 woonlaag,Per direct beschikbaar,45 (9m diep en 5m breed),Eerste Helmersstraat 154 HS,Douche en toilet,,,€ 50 per maand,1910,"Remeha HR Ketel (gas gestookt combiketel uit 2005, Eigendom)",Volle eigendom,Niet beschikbaar,,45,Begane grond,,155,Ja,"Volledig geïsoleerd, dubbel glas, vloerisolatie, muurisolatie en dakisolatie",Ja,,"In woonwijk, in centrum, aan rustige weg en aan park",Gelegen op het noordwesten,Ja,,259.000,Ja,,,,Ja (€ 50 per maand),1054 EJ Amsterdam   ,Ja,Inpandig,50 /mnd,Benedenwoning (appartement),Bestaande bouw,Plat dak bedekt met bitumineuze dakbedekking,,Parkeervergunningen,Gestoffeerd,Beschikbaar,Achtertuin,C.V.-ketel,Stromend water en elektra,250.000,C.V.-ketel,55,
2 maanden,2 badkamers,4 kamers (3 slaapkamers),2 woonlagen,In overleg,,Gerard Brandtstraat 4 D,"Ligbad, douche en 2 toiletten",Dakterras aanwezig en balkon aanwezig,,€ 120 per maand,1906-1930,"Combiketel (gas gestookt uit 2004, Eigendom)",Volle eigendom,Niet beschikbaar,,57,3e woonlaag,,390,Ja,"Dakisolatie, vloerisolatie en dubbel glas",Ja,,Aan rustige weg en in woonwijk,,Ja,,,Ja,,,,Ja (€ 120 per maand),1054 JJ Amsterdam   ,Ja,Inpandig,,Bovenwoning (dubbel bovenhuis),Bestaande bouw,Plat dak bedekt met bitumineuze dakbedekking,,,,Beschikbaar,,C.V.-ketel,Mechanische ventilatie en TV kabel,675.000,C.V.-ketel,142,
6+ maanden,,5 kamers (4 slaapkamers),2 woonlagen,In overleg,,Kanaalstraat 48 III/IV,,"Dakterras aanwezig, balkon aanwezig en frans balkon aanwezig",,,Voor 1906,"Vaillant (gas gestookt combiketel uit 2004, Eigendom)",Volle eigendom,Niet beschikbaar,,6,4e woonlaag,,325,Nee,"Dakisolatie, vloerisolatie en gedeeltelijk dubbel glas",Nee,,Aan rustige weg,,Nee,,,Nee,,,,Nee,1054 XJ Amsterdam   ,Nee,,,Bovenwoning (dubbel bovenhuis),Bestaande bouw,Plat dak bedekt met bitumineuze dakbedekking,,,,Beschikbaar,,C.V.-ketel,"Zonnecollectoren, dakraam en mechanische ventilatie",499.000,C.V.-ketel,118,
6+ maanden,1 badkamer en 1 apart toilet,2 kamers (1 slaapkamer),4 woonlagen,In overleg,,Kanaalstraat 65 I,Ligbad en douche,Balkon aanwezig,,,1905,"Intergas (gas gestookt combiketel uit 2001, Eigendom)",Gemeentelijk eigendom belast met erfpacht,Niet beschikbaar,,3,1e woonlaag,,130,Ja,Volledig geïsoleerd,Ja,475 per jaar,In woonwijk en aan rustige weg,,Ja,,225.000,Ja,,,,Ja,1054 XA Amsterdam   ,Ja,,75 /mnd,Bovenwoning (appartement),Bestaande bouw,Plat dak,,Betaald parkeren,,Beschikbaar,,C.V.-ketel,TV kabel en mechanische ventilatie,192.000,C.V.-ketel,50,
2 maanden,1 badkamer en 1 apart toilet,3 kamers (2 slaapkamers),1 woonlaag,In overleg,,Nassaukade 357 b,Douche,Balkon aanwezig,,€ 75 per maand,Voor 1906,"2010, Eigendom",Volle eigendom,Niet beschikbaar,,5,4e woonlaag,,210,Ja,Dubbel glas,Ja,,"Aan vaarwater, open ligging, in centrum en aan water",,Nee,,,Ja,,,,Ja (€ 75 per maand),1054 AA Amsterdam   ,Ja,,75 /mnd,Penthouse,Bestaande bouw,,,,,Beschikbaar,,C.V.-ketel,TV kabel,369.500,C.V.-ketel,77,
4 maanden,,2 kamers (1 slaapkamer),1 woonlaag,In overleg,,Overtoom 170 /2,,,,€ 60 per maand,Voor 1906,,Volle eigendom,Niet beschikbaar,,,2e woonlaag,,221,Ja,Dubbel glas,Ja,,"Aan drukke weg, in woonwijk en vrij uitzicht",,Ja,,,Ja,,10,,Ja (€ 60 per maand),1054 HP Amsterdam    Verkocht onder voorbehoud,Ja,Inpandig,60 /mnd,Bovenwoning (appartement),Bestaande bouw,Plat dak bedekt met bitumineuze dakbedekking,,,,Verkocht onder voorbehoud,,Moederhaard,Elektra en stromend water,199.000,Geiser,58,
